"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
5,2,2,3,1,1,2,2,1
5,3,1,3,3,1,2,1,1
5,3,2,1,1,2,1,2,2
5,4,1,2,1,1,1,1,2
5,4,2,1,3,3,3,2,1
5,5,1,2,1,3,1,1,1
5,5,2,3,2,2,2,3,3
5,6,1,3,3,2,3,2,2
5,6,2,1,2,1,2,3,3
5,7,1,1,3,1,1,2,3
5,7,2,3,1,3,3,3,2
5,8,1,2,2,2,2,1,1
5,8,2,3,3,3,1,2,3
5,9,1,1,2,2,2,1,2
5,9,2,2,1,1,3,3,1
5,10,1,3,2,2,1,3,1
5,10,2,1,1,3,2,1,3
5,11,1,2,3,1,3,2,2
5,11,2,1,1,2,1,3,1
5,12,1,2,2,3,2,2,2
5,12,2,3,3,1,3,1,3
5,13,1,3,2,1,1,2,2
5,13,2,2,3,2,2,3,3
5,14,1,2,2,1,1,3,3
5,14,2,1,1,3,3,1,1
5,15,1,1,3,2,2,2,1
5,15,2,3,1,3,3,1,2
5,16,1,1,3,3,3,3,2
5,16,2,2,1,2,2,2,3
5,17,1,3,2,1,1,1,1
5,17,2,2,3,3,2,3,2
5,18,1,1,1,1,1,1,1
5,18,2,3,2,2,3,2,3
5,19,1,3,3,2,3,3,1
5,19,2,1,2,3,1,2,3
5,20,1,2,1,1,2,1,2
5,20,2,3,2,3,3,2,1
5,21,1,1,3,2,1,1,2
5,21,2,2,1,1,2,3,3
6,1,1,1,2,1,3,3,2
6,1,2,3,3,3,2,1,3
6,2,1,1,3,1,3,1,3
6,2,2,2,1,2,1,2,1
6,3,1,3,1,2,1,3,2
6,3,2,2,2,3,2,2,1
6,4,1,2,3,3,1,3,1
6,4,2,1,1,2,3,2,2
6,5,1,3,2,1,2,1,3
6,5,2,2,3,2,3,3,1
6,6,1,1,2,3,2,1,2
6,6,2,3,1,1,1,2,3
6,7,1,1,3,1,2,2,1
6,7,2,2,2,2,3,1,3
6,8,1,3,1,3,1,3,2
6,8,2,1,3,2,2,1,1
6,9,1,3,1,3,3,3,3
6,9,2,2,2,1,1,2,2
6,10,1,2,3,3,1,1,3
6,10,2,3,2,2,2,3,1
6,11,1,3,3,2,1,1,1
6,11,2,1,1,1,3,2,2
6,12,1,1,1,1,2,3,3
6,12,2,2,2,3,3,2,2
6,13,1,1,2,3,1,3,3
6,13,2,2,1,1,3,1,1
6,14,1,3,3,2,2,2,2
6,14,2,1,2,1,3,3,1
6,15,1,3,3,3,2,1,2
6,15,2,2,1,2,1,2,3
6,16,1,2,3,1,1,3,2
6,16,2,3,1,3,2,2,1
6,17,1,2,1,3,2,3,1
6,17,2,1,2,2,3,1,3
6,18,1,1,3,1,3,2,3
6,18,2,3,2,2,1,1,2
6,19,1,2,1,2,3,1,2
6,19,2,1,3,3,1,2,1
6,20,1,3,2,1,2,3,3
6,20,2,2,3,3,3,1,1
6,21,1,1,1,2,2,2,3
