"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
2,14,2,3,1,3,3,3,2
2,14,3,3,2,3,3,3,2
2,14,4,1,3,1,1,2,1
2,14,5,2,1,2,1,1,1
2,15,1,3,1,1,3,2,2
2,15,2,1,3,3,2,3,3
2,15,3,3,3,1,3,3,3
2,15,4,1,1,3,2,2,2
2,15,5,2,2,2,1,1,1
2,16,1,1,3,1,1,3,1
2,16,2,2,1,3,3,1,3
2,16,3,1,3,2,3,1,2
2,16,4,3,2,2,2,2,2
2,16,5,3,2,3,1,2,3
2,17,1,3,3,2,3,1,3
2,17,2,2,1,1,2,3,1
2,17,3,2,1,3,2,3,1
2,17,4,1,2,1,3,1,3
2,17,5,1,2,3,1,2,2
2,18,1,3,1,1,1,2,1
2,18,2,2,3,2,2,3,2
2,18,3,3,1,2,1,3,2
2,18,4,1,2,3,2,1,3
2,18,5,2,3,1,3,2,1
2,19,1,3,1,2,2,2,3
2,19,2,1,1,2,1,3,3
2,19,3,1,3,3,1,1,1
2,19,4,2,2,1,3,3,2
2,19,5,2,3,3,3,2,1
2,20,1,1,2,2,3,3,1
2,20,2,3,3,1,2,1,2
2,20,3,3,2,1,2,1,2
2,20,4,2,3,3,1,3,3
2,20,5,1,1,2,3,2,1
2,21,1,2,2,1,1,2,2
2,21,2,3,1,3,2,1,3
2,21,3,2,1,1,1,1,3
2,21,4,1,3,2,3,3,2
2,21,5,3,2,3,2,2,1
3,1,1,1,1,3,1,1,2
3,1,2,2,2,2,2,3,3
3,1,3,3,2,2,1,3,2
3,1,4,2,1,3,3,1,1
3,1,5,1,3,1,2,2,3
3,2,1,3,3,1,3,2,1
3,2,2,2,2,3,1,3,3
3,2,3,1,1,2,2,1,2
3,2,4,2,1,2,2,2,2
3,2,5,3,3,1,3,1,1
3,3,1,2,1,2,2,1,2
3,3,2,3,3,3,3,2,3
3,3,3,3,2,1,3,3,3
3,3,4,1,2,1,1,3,1
3,3,5,1,3,3,1,2,2
3,4,1,2,2,3,3,2,2
3,4,2,3,3,2,1,1,1
3,4,3,1,1,1,2,3,3
3,4,4,3,2,3,2,3,1
3,4,5,2,1,1,3,1,3
3,5,1,3,1,3,3,3,2
3,5,2,1,3,2,1,2,1
3,5,3,3,3,2,1,2,3
3,5,4,2,2,1,2,1,3
3,5,5,1,1,3,3,1,1
3,6,1,3,1,3,3,1,3
3,6,2,1,2,1,1,2,2
3,6,3,2,3,2,2,3,1
3,6,4,2,2,2,1,2,1
3,6,5,1,3,1,2,3,2
3,7,1,2,3,3,2,2,2
3,7,2,2,3,3,1,1,2
3,7,3,3,1,1,2,3,1
3,7,4,1,2,2,3,2,3
3,7,5,3,1,2,1,3,3
3,8,1,1,2,1,3,1,1
3,8,2,2,1,3,1,3,2
3,8,3,2,2,1,3,1,1
3,8,4,3,3,2,2,2,3
3,8,5,1,3,3,2,3,3
3,9,1,2,3,3,2,3,3
3,9,2,3,2,2,1,1,2
3,9,3,1,1,1,3,2,1
3,9,4,1,1,2,3,1,2
3,9,5,3,2,1,1,2,1
3,10,1,3,3,1,1,1,2
3,10,2,2,1,2,3,2,3
3,10,3,3,1,3,2,2,1
3,10,4,2,3,1,3,3,2
3,10,5,1,2,3,2,3,1
3,11,1,1,2,2,1,1,3
3,11,2,1,1,1,1,1,3
3,11,3,3,2,2,3,3,2
3,11,4,3,3,3,3,3,1
3,11,5,2,1,1,2,2,2
3,12,1,2,3,2,2,1,1
3,12,2,1,3,3,2,1,1
3,12,3,1,2,3,1,2,3
3,12,4,2,2,2,3,2,3
3,12,5,3,1,1,3,3,2
3,13,1,2,1,2,1,3,1
3,13,2,3,3,1,3,1,3
3,13,3,3,2,2,2,1,1
3,13,4,1,2,3,2,2,2
3,13,5,2,3,1,1,2,3
3,14,1,3,2,1,2,2,3
3,14,2,2,3,2,3,1,1
3,14,3,1,1,3,1,3,2
3,14,4,3,3,2,2,2,2
3,14,5,1,1,3,1,3,1
3,15,1,1,3,1,1,1,2
3,15,2,1,1,1,1,3,3
3,15,3,3,3,2,2,2,1
3,15,4,2,2,3,3,1,2
3,15,5,2,2,3,3,3,3
3,16,1,1,2,2,2,3,3
3,16,2,2,1,3,1,2,1
3,16,3,3,3,3,1,1,3
3,16,4,1,1,2,3,2,2
3,16,5,2,2,1,2,3,1
3,17,1,2,3,2,1,3,3
3,17,2,3,1,1,2,1,3
3,17,3,3,1,1,3,1,2
3,17,4,1,3,3,3,2,2
3,17,5,1,2,3,2,2,1
3,18,1,3,2,1,1,3,1
3,18,2,2,1,1,3,1,1
3,18,3,3,2,2,1,3,2
3,18,4,1,3,3,2,2,3
3,18,5,2,1,2,2,1,2
3,19,1,3,1,3,1,2,1
3,19,2,1,3,2,3,3,2
3,19,3,3,1,2,3,2,3
3,19,4,1,3,1,2,3,1
3,19,5,2,2,3,1,1,2
3,20,1,1,1,2,2,1,1
3,20,2,3,3,3,1,3,2
3,20,3,3,1,2,1,3,1
3,20,4,2,2,1,3,1,3
3,20,5,2,2,1,3,2,3
3,21,1,2,3,1,2,2,2
3,21,2,2,3,3,3,1,1
3,21,3,1,2,3,3,1,3
3,21,4,1,2,1,2,2,2
3,21,5,3,1,2,1,3,1
4,1,1,3,2,3,3,3,2
4,1,2,3,1,3,2,1,3
4,1,3,2,1,2,2,2,1
4,1,4,1,3,1,1,1,3
4,1,5,2,3,1,1,2,2
4,2,1,3,2,3,1,1,1
4,2,2,1,2,2,3,3,3
4,2,3,3,3,1,2,1,2
4,2,4,1,3,2,3,3,3
4,2,5,2,1,3,1,2,1
4,3,1,2,2,2,2,3,3
4,3,2,1,1,1,3,2,2
4,3,3,2,1,1,2,3,3
4,3,4,1,2,2,3,2,2
4,3,5,3,3,3,1,1,1
4,4,1,1,1,2,1,1,3
4,4,2,2,3,3,3,3,2
4,4,3,1,3,1,2,3,1
4,4,4,2,2,2,1,1,2
4,4,5,3,1,3,3,2,3
4,5,1,3,2,1,3,2,1
4,5,2,1,1,2,2,1,2
4,5,3,1,1,3,3,3,2
4,5,4,3,2,1,2,2,1
4,5,5,2,3,2,1,1,3
4,6,1,3,3,1,1,3,3
4,6,2,1,1,2,3,1,2
4,6,3,2,3,1,1,2,1
4,6,4,3,2,3,2,3,3
4,6,5,2,2,3,2,2,1
4,7,1,2,1,3,2,3,2
4,7,2,1,2,1,1,1,1
4,7,3,3,2,2,2,1,2
4,7,4,2,1,1,1,2,3
4,7,5,3,3,2,3,2,3
4,8,1,3,2,2,1,2,2
4,8,2,1,1,3,1,2,3
4,8,3,2,1,1,2,1,3
4,8,4,2,3,2,3,3,1
4,8,5,1,3,3,3,3,1
4,9,1,3,2,3,3,1,1
4,9,2,3,3,3,2,1,2
4,9,3,1,2,1,3,3,1
4,9,4,1,3,1,2,3,2
4,9,5,2,1,2,1,2,3
4,10,1,1,3,3,1,2,2
4,10,2,3,1,3,3,2,3
4,10,3,2,2,1,1,3,2
4,10,4,2,1,1,3,3,1
4,10,5,1,3,2,2,1,1
4,11,1,3,2,2,2,3,3
4,11,2,2,1,3,3,1,1
4,11,3,3,2,2,2,1,3
4,11,4,2,3,3,3,2,2
4,11,5,1,1,1,1,3,1
4,12,1,2,1,3,3,3,1
