"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
76,1,1,3,1,3,3,2,1
76,1,2,2,3,2,1,3,2
77,1,1,1,2,1,2,1,3
77,1,2,3,1,2,1,2,1
78,1,1,2,2,1,3,1,3
78,1,2,1,3,3,2,3,2
79,1,1,1,2,2,3,3,2
79,1,2,2,3,1,1,1,1
80,1,1,3,1,3,2,2,3
80,1,2,2,2,2,1,1,2
81,1,1,3,3,1,2,3,1
81,1,2,1,1,3,3,2,3
82,1,1,2,3,2,2,3,3
82,1,2,3,1,1,3,1,2
83,1,1,1,2,3,1,2,1
83,1,2,3,3,2,3,3,3
84,1,1,2,2,1,1,2,1
84,1,2,1,1,3,2,1,2
85,1,1,3,2,3,1,1,3
85,1,2,1,3,1,3,2,2
86,1,1,2,1,2,2,3,1
86,1,2,3,3,1,1,1,3
87,1,1,2,2,3,3,3,2
87,1,2,1,1,2,2,2,1
88,1,1,1,1,2,1,1,3
88,1,2,3,2,1,2,2,2
89,1,1,1,1,1,1,1,2
89,1,2,2,3,3,3,3,1
90,1,1,3,2,2,3,3,1
90,1,2,2,3,3,2,2,3
91,1,1,1,2,1,2,3,1
91,1,2,2,3,2,1,2,2
92,1,1,3,1,3,3,1,3
92,1,2,1,2,2,1,3,2
93,1,1,3,3,3,2,2,3
93,1,2,2,1,1,3,1,1
94,1,1,1,3,3,1,1,1
94,1,2,2,2,1,2,3,3
95,1,1,3,1,2,3,2,2
95,1,2,1,3,1,1,3,3
96,1,1,3,2,2,3,2,1
96,1,2,2,1,3,2,1,2
97,1,1,3,2,3,1,3,1
97,1,2,1,3,1,3,2,2
98,1,1,1,3,3,3,3,2
98,1,2,2,1,2,2,1,3
99,1,1,2,2,2,1,2,3
99,1,2,3,1,1,2,1,1
100,1,1,1,3,2,3,1,1
100,1,2,3,1,1,1,3,2
101,1,1,2,2,3,2,2,3
101,1,2,3,3,2,1,1,2
102,1,1,2,2,1,2,2,1
102,1,2,1,1,3,3,3,3
103,1,1,2,2,3,3,1,2
103,1,2,1,1,2,2,3,1
104,1,1,3,3,1,1,2,3
104,1,2,1,2,3,2,3,2
105,1,1,3,3,2,1,1,1
105,1,2,2,1,1,3,2,3
106,1,1,1,1,3,1,2,1
106,1,2,3,3,2,2,3,3
